Ticker,Price,Sector
"MMM 
",178.49,Industrials 
"ABT 
",40.76,Health Care 
"ABBV 
",61.66,Health Care 
"ACN 
",115.95,Information Technology 
"ATVI 
",39.08,Information Technology 
"AYI 
",206.28,Industrials 
"ADBE 
",108.79,Information Technology 
"AAP 
",173.98,Consumer Discretionary 
"AES 
",11.93,Utilities 
"AET 
",120.97,Health Care 
"AMG 
",142.03,Financials 
"AFL 
",69.97,Financials 
"A 
",48.25,Health Care 
"APD 
",146.33,Materials 
"AKAM 
",69.6,Information Technology 
"ALK 
",92.93,Industrials 
"ALB 
",92.6,Materials 
"AGN 
",216.56,Health Care 
"LNT 
",37.7,Utilities 
"ALXN 
",135.87,Health Care 
"ALLE 
",66.48,Industrials 
"ADS 
",231.62,Information Technology 
"ALL 
",74.52,Financials 
"GOOGL 
",829.02,Information Technology 
"GOOG 
",806.07,Information Technology 
"MO 
",69.16,Consumer Staples 
"AMZN 
",807.48,Consumer Discretionary 
"AEE 
",52.36,Utilities 
"AAL 
",47.64,Industrials 
"AEP 
",63.46,Utilities 
"AXP 
",77.49,Financials 
"AIG 
",66.24,Financials 
"AMT 
",105.67,Real Estate 
"AWK 
",72.6,Utilities 
"AMP 
",113.41,Financials 
"ABC 
",85.51,Health Care 
"AME 
",50.71,Industrials
"AMGN 
",155.77,Health Care 
"APH 
",68.28,Information Technology 
"APC 
",69.89,Energy 
"ADI 
",73.01,Information Technology 
"ANTM 
",147.22,Health Care 
"AON 
",114.05,Financials 
"APA 
",62.91,Energy 
"AIV 
",44.46,Real Estate 
"AAPL 
",119.99,Information Technology 
"AMAT 
",33.69,Information Technology 
"ADM 
",44.95,Consumer Staples 
"ARNC 
",20.88,Industrials 
"AJG 
",52.93,Financials 
"AIZ 
",95.12,Financials 
"T 
",40.8,Telecommunications Services 
"ADSK 
",79.71,Information Technology 
"ADP 
",102.91,Information Technology 
"AN 
",51.82,Consumer Discretionary 
"AZO 
",778.3,Consumer Discretionary 
"AVB 
",176.57,Real Estate 
"AVY 
",73.17,Materials 
"BHI 
",61.74,Energy 
"BLL 
",76.98,Materials 
"BAC 
",22.63,Financials 
"BK 
",46.23,Financials 
"BCR 
",234.79,Health Care 
"BAX 
",46.77,Health Care 
"BBT 
",46.2,Financials 
"BDX 
",173.98,Health Care 
"BBBY 
",41.09,Consumer Discretionary 
"BRK_B 
",160.49,Financials 
"BBY 
",44.77,Consumer Discretionary 
"BIIB 
",283.61,Health Care 
"BLK 
",378,Financials 
"HRB 
",23.66,Financials 
"BA 
",158.32,Industrials 
"BWA 
",39.78,Consumer Discretionary 
"BXP 
",130.36,Real Estate 
"BSX 
",23.92,Health Care 
"BMY 
",56.07,Health Care 
"AVGO 
",185.02,Information Technology 
"BF_B 
",44.77,Consumer Staples 
"CHRW 
",74.05,Industrials 
"CA 
",32.7,Information Technology 
"COG 
",21.67,Energy 
"CPB 
",62.29,Consumer Staples 
"COF 
",87.28,Financials 
"CAH 
",75.8,Health Care 
"HSIC 
",159.69,Health Care 
"KMX 
",65.68,Consumer Discretionary 
"CCL 
",53.6,Consumer Discretionary 
"CAT 
",93.33,Industrials 
"CBG 
",30.51,Real Estate 
"CBS 
",63.49,Consumer Discretionary 
"CELG 
",115.22,Health Care 
"CNC 
",62.87,Health Care 
"CNP 
",25.68,Utilities 
"CTL 
",25.47,Telecommunications Services 
"CERN 
",52.29,Health Care 
"CF 
",32.32,Materials 
"SCHW 
",41.1,Financials 
"CHTR 
",303.69,Consumer Discretionary 
"CHK 
",6.98,Energy 
"CVX 
",115.94,Energy 
"CMG 
",409.74,Consumer Discretionary
"CB 
",131.97,Financials 
"CHD 
",44.74,Consumer Staples 
"CI 
",141.97,Health Care 
"XEC 
",138.34,Energy 
"CINF 
",70.54,Financials 
"CTAS 
",113.97,Industrials 
"CSCO 
",30.03,Information Technology 
"C 
",57.39,Financials 
"CFG 
",34.99,Financials
"CTXS 
",93.56,Information Technology 
"CLX 
",120.91,Consumer Staples 
"CME 
",117.25,Financials 
"CMS 
",42.19,Utilities 
"COH 
",35.35,Consumer Discretionary 
"KO 
",41.29,Consumer Staples 
"CTSH 
",57.36,Information Technology 
"CL 
",67.86,Consumer Staples 
"CMCSA 
",72.29,Consumer Discretionary 
"CMA 
",67.06,Financials 
"CAG 
",38.72,Consumer Staples 
"CXO 
",135.68,Energy 
"COP 
",50.27,Energy 
"ED 
",74.43,Utilities 
"STZ 
",150.48,Consumer Staples 
"GLW 
",24.56,Information Technology 
"COST 
",164.27,Consumer Staples 
"COTY 
",18.93,Consumer Staples 
"CCI 
",87.2,Real Estate 
"CSRA 
",32.8,Information Technology 
"CSX 
",36.88,Industrials 
"CMI 
",139.9,Industrials 
"CVS 
",83.54,Consumer Staples 
"DHI 
",28.5,Consumer Discretionary 
"DHR 
",81.19,Industrials 
"DRI 
",73.16,Consumer Discretionary 
"DVA 
",63.89,Health Care 
"DE 
",105.24,Industrials 
"DLPH 
",71.5,Consumer Discretionary 
"DAL 
",50.3,Industrials 
"XRAY 
",56.55,Health Care 
"DVN 
",46.36,Energy 
"DLR 
",104.63,Real Estate 
"DFS 
",70.36,Financials 
"DISCA 
",28.01,Consumer Discretionary 
"DISCK 
",27.4,Consumer Discretionary 
"DG 
",72.44,Consumer Discretionary 
"DLTR 
",77.31,Consumer Discretionary 
"D 
",76.17,Utilities 
"DOV 
",78.4,Industrials 
"DOW 
",57.71,Materials 
"DPS 
",90.34,Consumer Staples 
"DTE 
",98.89,Utilities 
"DD 
",73.45,Materials 
"DUK 
",77.5,Utilities 
"DNB 
",123.26,Industrials 
"ETFC 
",36.37,Financials 
"EMN 
",77.19,Materials 
"ETN 
",67.8,Industrials 
"EBAY 
",30.39,Information Technology 
"ECL 
",119.07,Materials 
"EIX 
",72.3,Utilities 
"EW 
",95.79,Health Care 
"EA 
",80.53,Information Technology 
"EMR 
",57.22,Industrials 
"ENDP 
",13.17,Health Care 
"ETR 
",71.89,Utilities 
"EVHC 
",68.92,Health Care 
"EOG 
",105.4,Energy 
"EQT 
",62.53,Energy 
"EFX 
",120.26,Industrials 
"EQIX 
",376.73,Real Estate 
"EQR 
",63.6,Real Estate 
"ESS 
",227.9,Real Estate 
"EL 
",79.27,Consumer Staples 
"ES 
",55.52,Utilities 
"EXC 
",35.71,Utilities 
"EXPE 
",119.34,Consumer Discretionary 
"EXPD 
",53.72,Industrials 
"ESRX 
",72.67,Health Care 
"EXR 
",73.17,Real Estate 
"XOM 
",86.28,Energy 
"FFIV 
",142.84,Information Technology 
"FB 
",127.92,Information Technology 
"FAST 
",51.06,Industrials 
"FRT 
",141.53,Real Estate 
"FDX 
",187.23,Industrials 
"FIS 
",79.46,Information Technology 
"FITB 
",26.33,Financials 
"FSLR 
",34.41,Information Technology 
"FE 
",30.76,Utilities 
"FISV 
",110.08,Information Technology 
"FLIR 
",35.4,Information Technology 
"FLS 
",49.86,Industrials 
"FLR 
",52.98,Industrials 
"FMC 
",58.55,Materials 
"FTI 
",34.92,Energy 
"FL 
",69.35,Consumer Discretionary 
"F 
",12.41,Consumer Discretionary 
"FTV 
",54.14,Industrials 
"FBHS 
",54.3,Industrials 
"BEN 
",40.01,Financials 
"FCX 
",15.24,Materials 
"FTR 
",3.54,Telecommunications Services 
"GPS 
",23.97,Consumer Discretionary 
"GRMN 
",47.76,Consumer Discretionary 
"GD 
",175.99,Industrials 
"GE 
",31.23,Industrials 
"GGP 
",25.1,Real Estate 
"GIS 
",62.08,Consumer Staples 
"GM 
",37.47,Consumer Discretionary 
"GPC 
",99.29,Consumer Discretionary 
"GILD 
",72.13,Health Care 
"GPN 
",78.62,Information Technology 
"GS 
",234.29,Financials 
